EnsemblID,log2FoldChange,padj,Gene.name
ENSG00000267532.1,-0.8295795932,0.000000028,MIR497HG
ENSG00000108797.7,-0.808490482,2.8431993416708E-008,CNTNAP1
ENSG00000167037.14,-1.3682937126,3.0512021401491E-008,SGSM1
ENSG00000225614.2,-0.8198696392,3.0512021401491E-008,ZNF469
ENSG00000169071.10,-0.8524498398,3.14415488166121E-008,ROR2
ENSG00000187134.8,1.379573717,0.000000032,AKR1C1
ENSG00000100526.14,1.3052576671,3.88322647023335E-008,CDKN3
ENSG00000100095.14,-1.5372002049,4.1496907517998E-008,SEZ6L
ENSG00000152465.13,-0.7330686668,5.41511538231513E-008,NMT2
ENSG00000121075.4,-0.8451387391,5.78148770274967E-008,TBX4
ENSG00000074410.9,1.6001542242,6.10618230539487E-008,CA12
ENSG00000179542.11,-1.3193159439,6.55158056398969E-008,SLITRK4
ENSG00000168065.11,-1.5896344564,6.91254329803937E-008,SLC22A11
ENSG00000148600.10,-1.4062810322,6.98173495956003E-008,CDHR1
ENSG00000056736.5,-1.0520030356,7.02188256250934E-008,IL17RB
ENSG00000115363.9,1.7572544476,7.23622498037345E-008,EVA1A
ENSG00000084636.11,-1.0861735502,7.23622498037345E-008,COL16A1
ENSG00000029153.10,1.1368611533,7.78532321083183E-008,ARNTL2
ENSG00000159200.12,1.1822542221,0.000000078,RCAN1
ENSG00000054392.8,-0.7943870315,8.05857601530583E-008,HHAT
ENSG00000003436.10,1.0475588291,8.24354121666096E-008,TFPI
ENSG00000225504.3,1.6357458251,8.73704727337117E-008,RP11-160A10.2
ENSG00000182218.5,1.0355299141,8.8472242143777E-008,HHIPL1
ENSG00000196923.9,0.9256528224,8.92280701732407E-008,PDLIM7
ENSG00000228214.1,-0.9074585889,8.99445764841245E-008,LINC00693
ENSG00000148344.10,1.3872680958,9.05440920222269E-008,PTGES
ENSG00000100528.7,0.7411761735,9.13432305384439E-008,CNIH
ENSG00000152217.12,-0.9011630931,1.01215317356506E-007,SETBP1
ENSG00000150687.7,0.8994113503,1.10589663148173E-007,PRSS23
ENSG00000196136.10,-0.7438655928,1.10589663148173E-007,SERPINA3
ENSG00000049089.9,-0.9882390906,1.25161863786463E-007,COL9A2
ENSG00000051620.5,0.6249575774,1.31758155061781E-007,HEBP2
ENSG00000049759.12,1.3852743393,1.32305116463663E-007,NEDD4L
ENSG00000065717.10,-0.7984139915,1.42927592983437E-007,TLE2
ENSG00000134882.11,0.6983686626,1.53847866144609E-007,UBAC2
ENSG00000049192.10,1.225250138,1.5406581523479E-007,ADAMTS6
ENSG00000131771.9,-1.2451164743,1.55500740163826E-007,PPP1R1B
ENSG00000108001.9,1.73355718,1.57849729236878E-007,EBF3
ENSG00000135269.13,0.8453773437,1.72877229618973E-007,TES
ENSG00000146151.8,-1.5028485483,1.84202213709618E-007,HMGCLL1
ENSG00000105227.10,-1.1053204401,1.87879765218689E-007,PRX
ENSG00000179862.5,1.278645161,1.89644837976172E-007,CITED4
ENSG00000152270.4,-1.191381685,1.9878946270728E-007,PDE3B
ENSG00000138639.13,0.8771100503,2.01500079567524E-007,ARHGAP24
ENSG00000090530.5,1.2593622821,2.01802514095311E-007,LEPREL1
ENSG00000130294.10,-1.4133464176,2.09321713179358E-007,KIF1A
ENSG00000120251.14,1.5297091433,2.14865785763014E-007,GRIA2
ENSG00000138180.11,1.6684345238,2.19523511856022E-007,CEP55
ENSG00000161509.9,-1.3337348568,2.21650690549749E-007,GRIN2C
ENSG00000170873.14,1.5195992008,2.22287893458165E-007,MTSS1
ENSG00000005020.8,0.8546686438,2.4529628513391E-007,SKAP2
ENSG00000125868.10,0.5748191732,2.53870798002474E-007,DSTN
ENSG00000109265.8,-1.0709939676,2.57680362079001E-007,KIAA1211
ENSG00000114251.9,1.4319814247,2.69311145411087E-007,WNT5A
ENSG00000182220.9,0.6235412661,2.74487435279007E-007,ATP6AP2
ENSG00000157557.7,-0.5335205797,2.75577683324055E-007,ETS2
ENSG00000166091.15,-1.0528459761,2.91237438301048E-007,CMTM5
ENSG00000165244.6,1.2241499945,2.95873887419917E-007,ZNF367
ENSG00000196739.10,-0.95227763,2.95873887419917E-007,COL27A1
ENSG00000076770.10,-0.8575368649,2.95873887419917E-007,MBNL3
ENSG00000050628.16,-1.1893800751,0.000000313,PTGER3
ENSG00000131747.10,1.5088083887,3.16947319996284E-007,TOP2A
ENSG00000185924.5,-0.741511237,3.26371240466208E-007,RTN4RL1
ENSG00000160111.7,-1.0856718266,3.3690134438717E-007,CPAMD8
ENSG00000197467.8,1.0040270438,3.37549336590669E-007,COL13A1
ENSG00000156103.11,-0.9431485968,3.61439481037378E-007,MMP16
ENSG00000165434.4,1.0989920766,3.85731862780096E-007,PGM2L1
ENSG00000046604.8,1.0806194126,3.85731862780096E-007,DSG2
ENSG00000144749.9,-0.6650952494,3.95921197867511E-007,LRIG1
ENSG00000197320.4,-1.1843792115,4.15885138448238E-007,AC060834.2
ENSG00000122877.9,1.4346781455,4.26056205500946E-007,EGR2
ENSG00000233725.2,-1.3386994149,4.26056205500946E-007,LINC00284
ENSG00000134802.12,-0.7139688598,4.32580144415443E-007,SLC43A3
ENSG00000178965.9,-1.6041695358,0.00000049,C1orf173
ENSG00000183856.6,1.4745749551,4.90452888152921E-007,IQGAP3
ENSG00000198075.5,-1.1466262053,5.01805605802075E-007,SULT1C4
ENSG00000196666.3,-1.126435564,5.3717611615818E-007,FAM180B
ENSG00000216775.2,-1.036605743,5.52735679494843E-007,RP1-152L7.5
ENSG00000133026.8,-0.6038732249,5.55112777751472E-007,MYH10
ENSG00000155275.14,-0.959498952,5.62081525018688E-007,TRMT44
ENSG00000170312.11,1.5513723792,5.66264386150555E-007,CDK1
ENSG00000179152.14,0.7826147615,5.66264386150555E-007,TCAIM
ENSG00000071127.12,0.531646357,5.85911267729166E-007,WDR1
ENSG00000122420.5,0.8954654309,6.29239316690156E-007,PTGFR
ENSG00000099331.9,-0.6188703551,6.31094340734425E-007,MYO9B
ENSG00000205336.6,1.5179183727,6.3651102792975E-007,GPR56
ENSG00000138311.11,1.0074051801,7.10919099144532E-007,ZNF365
ENSG00000070404.4,1.0173999054,7.18704947279938E-007,FSTL3
ENSG00000052850.5,-1.3686599608,7.28107039812799E-007,ALX4
ENSG00000166292.7,1.0743696698,7.28107039812799E-007,TMEM100
ENSG00000106089.7,1.1317733495,7.40170725389811E-007,STX1A
ENSG00000135111.10,1.5984642178,7.84241153822374E-007,TBX3
ENSG00000264868.1,-1.1600421965,7.88924998373233E-007,CTB-167B5.2
ENSG00000180772.6,-1.6865036726,8.01198458968261E-007,AGTR2
ENSG00000151322.14,-0.5991609485,8.35379574933719E-007,NPAS3
ENSG00000134198.5,0.7941154583,8.37438751636661E-007,TSPAN2
ENSG00000225194.2,-1.1704413455,8.93878648906836E-007,LINC00092
ENSG00000092820.13,0.8579664997,0.000000904,EZR
ENSG00000146411.5,0.9638969157,9.04610834287549E-007,SLC2A12
ENSG00000162998.4,-1.0368937826,9.15558674547942E-007,FRZB
ENSG00000123353.5,0.6650321137,9.80421133277977E-007,ORMDL2
ENSG00000153291.10,-1.0215466486,9.87344281792274E-007,SLC25A27
ENSG00000092758.11,-0.882015995,1.02855014860031E-006,COL9A3
ENSG00000182871.10,1.1852531552,1.04860764009614E-006,COL18A1
ENSG00000111432.4,1.1446341493,1.06792135294108E-006,FZD10
ENSG00000147883.9,1.2763667852,1.20222494230378E-006,CDKN2B
ENSG00000198848.8,-1.2062836599,1.20765395682089E-006,CES1
ENSG00000025708.8,0.8903365096,0.000001213,TYMP
ENSG00000188686.2,1.3197411354,1.24182263014415E-006,SCXA
ENSG00000146674.10,0.9461100019,1.28175452983977E-006,IGFBP3
ENSG00000134259.3,1.2186578157,1.40931160333395E-006,NGF
ENSG00000123219.8,1.3844115007,1.4503975051694E-006,CENPK
ENSG00000122644.8,1.2107993785,1.45883958559096E-006,ARL4A
ENSG00000005884.13,1.2292482343,0.000001465,ITGA3
ENSG00000165474.5,1.3073215373,1.48785302245287E-006,GJB2
ENSG00000106538.5,-1.2778193193,1.517416614437E-006,RARRES2
ENSG00000123838.6,-0.9268381926,1.55972032436447E-006,C4BPA
ENSG00000261959.1,-1.2476565157,1.62080081340233E-006,RP11-893F2.14
ENSG00000102678.6,1.5558387223,1.62306982504841E-006,FGF9
ENSG00000154153.9,0.9343371776,1.63089166932333E-006,FAM134B
ENSG00000196405.8,0.7256896384,1.66985955656108E-006,EVL
ENSG00000108557.13,-0.6803003169,0.000001676,RAI1
ENSG00000099377.9,0.8965721353,1.68359493928487E-006,HSD3B7
ENSG00000146374.9,-1.4040402958,1.73181478848205E-006,RSPO3
ENSG00000103942.8,1.4942835184,1.76741246853425E-006,HOMER2
ENSG00000112559.9,-0.7088623467,1.85370119972168E-006,MDFI
ENSG00000117724.8,1.3066492013,0.00000187,CENPF
ENSG00000183098.6,-0.6500376774,1.87010726196613E-006,GPC6
ENSG00000106565.13,-1.4509330933,1.89456646319523E-006,TMEM176B
ENSG00000114738.6,0.6935221955,1.89456646319523E-006,MAPKAPK3
ENSG00000066279.12,1.4325615835,0.0000019,ASPM
ENSG00000248429.1,-1.0680485039,1.94168245335894E-006,RP11-597D13.9
ENSG00000102466.11,-1.1578368846,2.01445848867798E-006,FGF14
ENSG00000197461.9,0.7893484711,2.01445848867798E-006,PDGFA
ENSG00000133318.9,0.552945143,2.0773884230398E-006,RTN3
ENSG00000138696.6,1.5877877742,2.15825875688528E-006,BMPR1B
ENSG00000235770.1,1.513370637,2.16791973053221E-006,LINC00607
ENSG00000039560.9,0.8474789068,2.31969228123708E-006,RAI14
ENSG00000128602.5,-0.7267522078,2.31969228123708E-006,SMO
ENSG00000165795.15,-0.693838253,2.31969228123708E-006,NDRG2
ENSG00000189184.7,1.1593820683,2.33212763561033E-006,PCDH18
ENSG00000133110.10,1.5804221751,2.38163555269483E-006,POSTN
ENSG00000163359.10,0.7642165489,2.39665550675756E-006,COL6A3
ENSG00000149090.7,1.2956247702,2.45663927123551E-006,PAMR1
ENSG00000112312.5,1.1381637041,2.581410051491E-006,GMNN
ENSG00000170340.10,1.0905821243,2.60626758099846E-006,B3GNT2
ENSG00000082074.11,-0.8395104285,0.000002636,FYB
ENSG00000172346.10,1.2772419549,2.69281159561211E-006,CSDC2
ENSG00000147231.9,1.247940535,2.71488265058704E-006,CXorf57
ENSG00000178752.11,1.606909628,3.03792391943357E-006,FAM132B
ENSG00000100522.4,0.6271685644,3.03792391943357E-006,GNPNAT1
ENSG00000137642.8,-0.8918411154,3.19218261588193E-006,SORL1
ENSG00000106038.7,-1.6129008604,3.23965278992621E-006,EVX1
ENSG00000175356.8,-0.9961309047,3.32477847866289E-006,SCUBE2
ENSG00000109805.5,1.553434465,3.35926376375551E-006,NCAPG
ENSG00000188763.3,-0.7646030165,3.40536410051883E-006,FZD9
ENSG00000126778.6,0.8279985471,3.412554068009E-006,SIX1
ENSG00000171408.9,-0.9551170669,0.00000379,PDE7B
ENSG00000176597.7,1.0360759516,3.84824491700969E-006,B3GNT5
ENSG00000110092.3,0.9332995804,3.9198145552213E-006,CCND1
ENSG00000184564.8,1.5985444596,3.96144035773321E-006,SLITRK6
ENSG00000135046.9,0.6411583039,0.000004022,ANXA1
ENSG00000138594.8,0.623162065,0.000004022,TMOD3
ENSG00000077274.7,-1.5383295891,4.15138152321293E-006,CAPN6
ENSG00000260807.2,-0.6672323763,0.000004841,RP11-161M6.2
ENSG00000070882.8,1.0615901311,5.03950111453292E-006,OSBPL3
ENSG00000158315.6,1.4050184309,5.12656438159261E-006,RHBDL2
ENSG00000187068.2,-0.7998429691,5.23241844210302E-006,C3orf70
ENSG00000228510.2,-0.8807009526,0.000005286,RP11-339B21.8
ENSG00000151067.16,-1.0892089041,5.37105650218409E-006,CACNA1C
ENSG00000120254.11,0.8186305519,5.37105650218409E-006,MTHFD1L
ENSG00000154736.5,1.2516142719,5.39755294828729E-006,ADAMTS5
